segment,n,mean,std,min,median,max
Revolving,580,0.04845981456507943,0.02280906044533131,0.017393673199523087,0.042349755787605414,0.17725317918895028
Retail_PL,1136,0.03409811819973255,0.014827354949546035,0.016760671102545057,0.030966998663025654,0.25595417624824535
SME_TermLoan,1327,0.021089185662166207,0.005776984664490207,0.01214529225290794,0.01981131518460101,0.07109500789540593
Corp_TermLoan,1075,0.012476975034254361,0.0019832368638327716,0.007229148118974026,0.012066635229160542,0.025979227233196654
Retail_Mortgage,2747,0.0042066581162808975,0.0002929936742006567,0.002847906740281415,0.004161280643165245,0.006257221330736754
